id,geopos,apartments,price,year
1071,"{'type': 'Point', 'coordinates': [37.558167, 55.550611]}",72,308077.0,1999
1072,"{'type': 'Point', 'coordinates': [37.559101, 55.550743]}",37,178364.0,1999
1073,"{'type': 'Point', 'coordinates': [37.559451, 55.551431]}",114,210458.0,2000
1074,"{'type': 'Point', 'coordinates': [37.560996, 55.55057]}",216,287001.0,2001
1075,"{'type': 'Point', 'coordinates': [37.559155, 55.550193]}",164,282562.0,1999
1076,"{'type': 'Point', 'coordinates': [37.557475, 55.549536]}",253,197764.0,2002
1077,"{'type': 'Point', 'coordinates': [37.558059, 55.550101]}",123,203315.0,1999
1078,"{'type': 'Point', 'coordinates': [37.55602, 55.550173]}",158,229222.0,2002
1079,"{'type': 'Point', 'coordinates': [37.555643, 55.549577]}",106,245640.0,2003
1080,"{'type': 'Point', 'coordinates': [37.556559, 55.54921]}",168,261642.0,2003
1081,"{'type': 'Point', 'coordinates': [37.553235, 55.548569]}",279,229147.0,1994
1082,"{'type': 'Point', 'coordinates': [37.556271, 55.547392]}",123,241925.0,2003
1083,"{'type': 'Point', 'coordinates': [37.556954, 55.547937]}",101,281782.0,2002
1084,"{'type': 'Point', 'coordinates': [37.559451, 55.548294]}",147,175572.0,2000
1085,"{'type': 'Point', 'coordinates': [37.558391, 55.548044]}",283,206443.0,2002
1086,"{'type': 'Point', 'coordinates': [37.558939, 55.547107]}",109,280733.0,2000
1087,"{'type': 'Point', 'coordinates': [37.561814, 55.547382]}",232,311343.0,1977
1088,"{'type': 'Point', 'coordinates': [37.561104, 55.546526]}",98,252491.0,1971
1089,"{'type': 'Point', 'coordinates': [37.560323, 55.546862]}",58,255151.0,2000
1090,"{'type': 'Point', 'coordinates': [37.559523, 55.546735]}",69,191742.0,2000
1091,"{'type': 'Point', 'coordinates': [37.558841, 55.545503]}",59,243881.0,1999
1092,"{'type': 'Point', 'coordinates': [37.558805, 55.546083]}",104,257872.0,1999
1093,"{'type': 'Point', 'coordinates': [37.55778, 55.54619]}",172,212049.0,2001
1094,"{'type': 'Point', 'coordinates': [37.55734, 55.546735]}",368,215063.0,2002
1095,"{'type': 'Point', 'coordinates': [37.555445, 55.546053]}",262,227556.0,1994
1096,"{'type': 'Point', 'coordinates': [37.55513, 55.545217]}",169,173096.0,1994
1097,"{'type': 'Point', 'coordinates': [37.556289, 55.54484]}",264,219503.0,1994
1098,"{'type': 'Point', 'coordinates': [37.557879, 55.545258]}",97,204204.0,1999
1099,"{'type': 'Point', 'coordinates': [37.559631, 55.5451]}",71,223400.0,2000
1100,"{'type': 'Point', 'coordinates': [37.555562, 55.544245]}",85,189740.0,1995
1101,"{'type': 'Point', 'coordinates': [37.557053, 55.543542]}",214,308705.0,1994
1102,"{'type': 'Point', 'coordinates': [37.555795, 55.54343]}",105,265289.0,1994
1103,"{'type': 'Point', 'coordinates': [37.551941, 55.545421]}",422,266560.0,1995
1104,"{'type': 'Point', 'coordinates': [37.554412, 55.546949]}",313,290867.0,1996
1105,"{'type': 'Point', 'coordinates': [37.552633, 55.546908]}",220,243821.0,1996
1106,"{'type': 'Point', 'coordinates': [37.549184, 55.546083]}",344,184445.0,1996
1107,"{'type': 'Point', 'coordinates': [37.547441, 55.545284]}",277,249761.0,1994
1108,"{'type': 'Point', 'coordinates': [37.548627, 55.544275]}",107,245903.0,1994
1109,"{'type': 'Point', 'coordinates': [37.54983, 55.543903]}",252,267413.0,1994
1110,"{'type': 'Point', 'coordinates': [37.546587, 55.54399]}",94,227357.0,1995
1111,"{'type': 'Point', 'coordinates': [37.545959, 55.543292]}",39,187272.0,1995
1112,"{'type': 'Point', 'coordinates': [37.545168, 55.54293]}",62,215644.0,1995
1113,"{'type': 'Point', 'coordinates': [37.542536, 55.541764]}",59,233485.0,1995
1114,"{'type': 'Point', 'coordinates': [37.543686, 55.541642]}",54,275157.0,1995
1115,"{'type': 'Point', 'coordinates': [37.551609, 55.542793]}",145,245672.0,1994
1116,"{'type': 'Point', 'coordinates': [37.552939, 55.542834]}",187,213494.0,1994
1117,"{'type': 'Point', 'coordinates': [37.551663, 55.543868]}",64,306173.0,1994
1118,"{'type': 'Point', 'coordinates': [37.554511, 55.543368]}",147,256556.0,1994
1119,"{'type': 'Point', 'coordinates': [37.555005, 55.542574]}",38,200888.0,1996
1120,"{'type': 'Point', 'coordinates': [37.556676, 55.542941]}",45,193837.0,1996
1121,"{'type': 'Point', 'coordinates': [37.5607, 55.541377]}",123,205076.0,1973
1122,"{'type': 'Point', 'coordinates': [37.562452, 55.540827]}",21,211737.0,1960
1123,"{'type': 'Point', 'coordinates': [37.563179, 55.540435]}",27,198955.0,1962
1124,"{'type': 'Point', 'coordinates': [37.539958, 55.536522]}",46,190884.0,2000
1125,"{'type': 'Point', 'coordinates': [37.541296, 55.537602]}",200,208058.0,2000
1126,"{'type': 'Point', 'coordinates': [37.542231, 55.538438]}",250,193251.0,1999
1127,"{'type': 'Point', 'coordinates': [37.541234, 55.539268]}",96,298569.0,1999
1128,"{'type': 'Point', 'coordinates': [37.541036, 55.539833]}",78,192804.0,1999
1129,"{'type': 'Point', 'coordinates': [37.54003, 55.539431]}",79,260616.0,1999
1130,"{'type': 'Point', 'coordinates': [37.539365, 55.539966]}",106,244246.0,1999
1131,"{'type': 'Point', 'coordinates': [37.538889, 55.539548]}",65,332679.0,1999
1132,"{'type': 'Point', 'coordinates': [37.538467, 55.538499]}",162,197104.0,2000
1133,"{'type': 'Point', 'coordinates': [37.53888, 55.537409]}",189,225081.0,1999
1134,"{'type': 'Point', 'coordinates': [37.540102, 55.537424]}",265,306139.0,1999
1135,"{'type': 'Point', 'coordinates': [37.537739, 55.537342]}",85,308449.0,2000
1136,"{'type': 'Point', 'coordinates': [37.537218, 55.538473]}",190,301415.0,1999
1137,"{'type': 'Point', 'coordinates': [37.532187, 55.539487]}",146,236201.0,1999
1138,"{'type': 'Point', 'coordinates': [37.535098, 55.540266]}",79,217116.0,2001
1139,"{'type': 'Point', 'coordinates': [37.536365, 55.539889]}",106,290838.0,2002
1140,"{'type': 'Point', 'coordinates': [37.534855, 55.539431]}",108,328419.0,2001
1141,"{'type': 'Point', 'coordinates': [37.535781, 55.539171]}",76,268617.0,2001
1142,"{'type': 'Point', 'coordinates': [37.537685, 55.539895]}",107,277163.0,1999
1143,"{'type': 'Point', 'coordinates': [37.536544, 55.541387]}",22,245915.0,2001
1144,"{'type': 'Point', 'coordinates': [37.53658, 55.540832]}",77,309811.0,2001
1145,"{'type': 'Point', 'coordinates': [37.535448, 55.541112]}",62,225198.0,2001
1146,"{'type': 'Point', 'coordinates': [37.525531, 55.541407]}",148,230939.0,2003
1147,"{'type': 'Point', 'coordinates': [37.527507, 55.542207]}",151,258277.0,2003
1148,"{'type': 'Point', 'coordinates': [37.525836, 55.542752]}",196,261386.0,2003
1149,"{'type': 'Point', 'coordinates': [37.524758, 55.542533]}",158,220912.0,2003
1150,"{'type': 'Point', 'coordinates': [37.523375, 55.543007]}",302,199176.0,2003
1151,"{'type': 'Point', 'coordinates': [37.522504, 55.54371]}",121,278898.0,2001
1152,"{'type': 'Point', 'coordinates': [37.520231, 55.543231]}",100,227321.0,2001
1153,"{'type': 'Point', 'coordinates': [37.519593, 55.543796]}",142,265526.0,2000
1154,"{'type': 'Point', 'coordinates': [37.521075, 55.544092]}",184,204312.0,2000
1155,"{'type': 'Point', 'coordinates': [37.521345, 55.543501]}",107,259128.0,2001
1156,"{'type': 'Point', 'coordinates': [37.52324, 55.544255]}",290,266855.0,2000
1157,"{'type': 'Point', 'coordinates': [37.52474, 55.543531]}",208,189382.0,2003
1158,"{'type': 'Point', 'coordinates': [37.523824, 55.545375]}",232,231624.0,2000
1159,"{'type': 'Point', 'coordinates': [37.523483, 55.546022]}",135,201813.0,2000
1160,"{'type': 'Point', 'coordinates': [37.525953, 55.547346]}",69,187008.0,2001
1161,"{'type': 'Point', 'coordinates': [37.526528, 55.546674]}",119,320338.0,2001
1162,"{'type': 'Point', 'coordinates': [37.527615, 55.546261]}",142,221858.0,2001
1163,"{'type': 'Point', 'coordinates': [37.528253, 55.545645]}",243,294497.0,2003
1164,"{'type': 'Point', 'coordinates': [37.529744, 55.546022]}",115,213669.0,2003
1165,"{'type': 'Point', 'coordinates': [37.529187, 55.544891]}",206,284783.0,2003
1166,"{'type': 'Point', 'coordinates': [37.530445, 55.544285]}",157,301849.0,2003
1167,"{'type': 'Point', 'coordinates': [37.533032, 55.545426]}",152,273488.0,2003
1168,"{'type': 'Point', 'coordinates': [37.534316, 55.545716]}",96,254785.0,2003
1169,"{'type': 'Point', 'coordinates': [37.535188, 55.546623]}",177,228517.0,2002
1170,"{'type': 'Point', 'coordinates': [37.534316, 55.547275]}",185,226495.0,2002
1171,"{'type': 'Point', 'coordinates': [37.533185, 55.54811]}",68,306156.0,2001
1172,"{'type': 'Point', 'coordinates': [37.532619, 55.547438]}",157,292606.0,2001
1173,"{'type': 'Point', 'coordinates': [37.531541, 55.546918]}",130,321335.0,2001
1174,"{'type': 'Point', 'coordinates': [37.531927, 55.545997]}",166,200021.0,2003
1175,"{'type': 'Point', 'coordinates': [37.530894, 55.546007]}",70,284971.0,2003
1176,"{'type': 'Point', 'coordinates': [37.529376, 55.546623]}",113,316132.0,2001
1177,"{'type': 'Point', 'coordinates': [37.530319, 55.546715]}",89,202429.0,2001
1178,"{'type': 'Point', 'coordinates': [37.52943, 55.547458]}",111,184718.0,2001
1179,"{'type': 'Point', 'coordinates': [37.52819, 55.547188]}",111,285751.0,2001
1180,"{'type': 'Point', 'coordinates': [37.52704, 55.547143]}",50,258623.0,2001
1181,"{'type': 'Point', 'coordinates': [37.52598, 55.54784]}",67,297902.0,2001
1182,"{'type': 'Point', 'coordinates': [37.527301, 55.547825]}",255,195007.0,2001
1183,"{'type': 'Point', 'coordinates': [37.527606, 55.548283]}",44,292611.0,2001
1184,"{'type': 'Point', 'coordinates': [37.528684, 55.548273]}",176,204344.0,2001
1185,"{'type': 'Point', 'coordinates': [37.530418, 55.547499]}",156,199585.0,2001
1186,"{'type': 'Point', 'coordinates': [37.531855, 55.548288]}",170,195327.0,2001
1187,"{'type': 'Point', 'coordinates': [37.532214, 55.548691]}",90,287913.0,2001
1188,"{'type': 'Point', 'coordinates': [37.533194, 55.548706]}",105,264763.0,2001
1189,"{'type': 'Point', 'coordinates': [37.533526, 55.5492]}",47,239073.0,2001
1190,"{'type': 'Point', 'coordinates': [37.532403, 55.549551]}",156,219331.0,2002
1191,"{'type': 'Point', 'coordinates': [37.531316, 55.549582]}",44,293861.0,2001
1192,"{'type': 'Point', 'coordinates': [37.532664, 55.550056]}",44,217953.0,2001
1193,"{'type': 'Point', 'coordinates': [37.533697, 55.549964]}",196,277535.0,2002
1194,"{'type': 'Point', 'coordinates': [37.535089, 55.549592]}",306,224413.0,2002
1195,"{'type': 'Point', 'coordinates': [37.534469, 55.548375]}",308,220032.0,2002
1196,"{'type': 'Point', 'coordinates': [37.53835, 55.548894]}",252,238499.0,2002
1197,"{'type': 'Point', 'coordinates': [37.539158, 55.54785]}",274,201062.0,2002
