id,geopos,apartments,price,year
1316,"{'type': 'Point', 'coordinates': [37.524911, 55.533547]}",177,296109.0,1996
1317,"{'type': 'Point', 'coordinates': [37.524435, 55.532717]}",224,231498.0,1996
1318,"{'type': 'Point', 'coordinates': [37.526384, 55.532564]}",88,246527.0,1997
1319,"{'type': 'Point', 'coordinates': [37.524893, 55.532284]}",54,234997.0,1997
1320,"{'type': 'Point', 'coordinates': [37.521408, 55.532666]}",240,210462.0,1996
1321,"{'type': 'Point', 'coordinates': [37.519485, 55.532197]}",257,234786.0,1996
1322,"{'type': 'Point', 'coordinates': [37.520527, 55.531754]}",341,177488.0,1996
1323,"{'type': 'Point', 'coordinates': [37.523276, 55.530918]}",111,182613.0,1997
1324,"{'type': 'Point', 'coordinates': [37.521471, 55.530653]}",142,269351.0,1997
1325,"{'type': 'Point', 'coordinates': [37.522081, 55.530974]}",61,280178.0,1997
1326,"{'type': 'Point', 'coordinates': [37.52015, 55.530516]}",133,211125.0,1997
1327,"{'type': 'Point', 'coordinates': [37.52103, 55.531346]}",68,193102.0,1997
1328,"{'type': 'Point', 'coordinates': [37.51821, 55.530918]}",302,246206.0,1998
1329,"{'type': 'Point', 'coordinates': [37.516889, 55.53182]}",269,218544.0,1998
1330,"{'type': 'Point', 'coordinates': [37.520411, 55.533139]}",49,160060.0,1997
1331,"{'type': 'Point', 'coordinates': [37.519548, 55.532793]}",62,179010.0,1996
1332,"{'type': 'Point', 'coordinates': [37.518677, 55.533165]}",84,257036.0,1996
1333,"{'type': 'Point', 'coordinates': [37.517725, 55.533674]}",60,253828.0,1999
1334,"{'type': 'Point', 'coordinates': [37.51582, 55.533206]}",115,167074.0,1998
1335,"{'type': 'Point', 'coordinates': [37.514554, 55.532686]}",86,196697.0,1998
1336,"{'type': 'Point', 'coordinates': [37.514275, 55.533516]}",84,205735.0,1999
1337,"{'type': 'Point', 'coordinates': [37.513125, 55.534225]}",40,277696.0,1999
1338,"{'type': 'Point', 'coordinates': [37.513799, 55.535137]}",35,179190.0,1999
1339,"{'type': 'Point', 'coordinates': [37.514742, 55.534795]}",48,191938.0,1999
1340,"{'type': 'Point', 'coordinates': [37.514176, 55.534169]}",63,297032.0,1999
1341,"{'type': 'Point', 'coordinates': [37.51512, 55.53399]}",176,199474.0,1999
1342,"{'type': 'Point', 'coordinates': [37.517752, 55.535121]}",115,250928.0,1999
1343,"{'type': 'Point', 'coordinates': [37.519988, 55.536583]}",28,184782.0,2001
1344,"{'type': 'Point', 'coordinates': [37.514967, 55.535473]}",75,190024.0,1999
1345,"{'type': 'Point', 'coordinates': [37.512577, 55.53854]}",206,221048.0,2004
1346,"{'type': 'Point', 'coordinates': [37.511436, 55.538794]}",314,287486.0,2004
1347,"{'type': 'Point', 'coordinates': [37.51017, 55.53827]}",141,326777.0,2004
1348,"{'type': 'Point', 'coordinates': [37.511454, 55.537872]}",269,325258.0,2004
1349,"{'type': 'Point', 'coordinates': [37.507834, 55.53666]}",247,257382.0,2011
1350,"{'type': 'Point', 'coordinates': [37.50372, 55.532844]}",173,252727.0,2007
1351,"{'type': 'Point', 'coordinates': [37.502786, 55.532029]}",122,187646.0,2007
1352,"{'type': 'Point', 'coordinates': [37.501609, 55.532126]}",88,201081.0,2006
1353,"{'type': 'Point', 'coordinates': [37.501501, 55.532666]}",63,284167.0,2006
1354,"{'type': 'Point', 'coordinates': [37.50089, 55.531672]}",117,175448.0,2006
1355,"{'type': 'Point', 'coordinates': [37.501708, 55.531173]}",137,186232.0,2006
1356,"{'type': 'Point', 'coordinates': [37.503073, 55.53076]}",156,205472.0,2007
1357,"{'type': 'Point', 'coordinates': [37.503882, 55.531606]}",179,177461.0,2007
1358,"{'type': 'Point', 'coordinates': [37.513431, 55.531178]}",251,185528.0,1998
1359,"{'type': 'Point', 'coordinates': [37.513152, 55.530582]}",117,247438.0,1998
1360,"{'type': 'Point', 'coordinates': [37.512532, 55.529675]}",104,219750.0,1998
1361,"{'type': 'Point', 'coordinates': [37.515838, 55.530225]}",190,305330.0,1998
1362,"{'type': 'Point', 'coordinates': [37.515057, 55.531433]}",169,275368.0,1998
1363,"{'type': 'Point', 'coordinates': [37.517761, 55.529456]}",204,223143.0,1998
1364,"{'type': 'Point', 'coordinates': [37.516656, 55.528228]}",63,219992.0,1998
1365,"{'type': 'Point', 'coordinates': [37.516341, 55.52886]}",63,229336.0,1998
1366,"{'type': 'Point', 'coordinates': [37.514033, 55.528212]}",86,275044.0,1998
1367,"{'type': 'Point', 'coordinates': [37.514077, 55.527581]}",62,206562.0,1998
1368,"{'type': 'Point', 'coordinates': [37.515587, 55.527825]}",55,272322.0,1998
1369,"{'type': 'Point', 'coordinates': [37.515524, 55.527219]}",37,240035.0,1998
1370,"{'type': 'Point', 'coordinates': [37.512523, 55.528075]}",38,245799.0,1998
1371,"{'type': 'Point', 'coordinates': [37.511975, 55.528783]}",79,230847.0,1998
1372,"{'type': 'Point', 'coordinates': [37.500728, 55.533119]}",119,218210.0,2006
1373,"{'type': 'Point', 'coordinates': [37.501456, 55.533547]}",91,291346.0,2006
1374,"{'type': 'Point', 'coordinates': [37.50301, 55.53454]}",127,263927.0,2007
1375,"{'type': 'Point', 'coordinates': [37.502274, 55.535554]}",151,183773.0,2007
1376,"{'type': 'Point', 'coordinates': [37.500953, 55.534658]}",222,266678.0,2006
1377,"{'type': 'Point', 'coordinates': [37.586329, 55.575017]}",67,260082.0,1992
1378,"{'type': 'Point', 'coordinates': [37.587847, 55.574803]}",696,317423.0,1992
1379,"{'type': 'Point', 'coordinates': [37.590623, 55.573317]}",81,298559.0,1992
1380,"{'type': 'Point', 'coordinates': [37.590353, 55.57404]}",135,237729.0,1992
1381,"{'type': 'Point', 'coordinates': [37.590048, 55.572843]}",39,182251.0,1995
1382,"{'type': 'Point', 'coordinates': [37.591458, 55.572365]}",244,217117.0,1992
1383,"{'type': 'Point', 'coordinates': [37.583661, 55.574111]}",115,265942.0,1992
1384,"{'type': 'Point', 'coordinates': [37.582044, 55.573897]}",133,278735.0,1991
1385,"{'type': 'Point', 'coordinates': [37.584182, 55.573515]}",46,221221.0,1995
1386,"{'type': 'Point', 'coordinates': [37.581262, 55.573368]}",177,200766.0,1991
1387,"{'type': 'Point', 'coordinates': [37.580104, 55.574874]}",129,305896.0,1994
1388,"{'type': 'Point', 'coordinates': [37.580238, 55.576203]}",200,332041.0,1992
1389,"{'type': 'Point', 'coordinates': [37.581532, 55.575887]}",206,260886.0,1992
1390,"{'type': 'Point', 'coordinates': [37.583239, 55.575409]}",139,205922.0,1992
1391,"{'type': 'Point', 'coordinates': [37.58482, 55.575862]}",253,224064.0,1992
1392,"{'type': 'Point', 'coordinates': [37.58261, 55.576447]}",155,182021.0,1992
1393,"{'type': 'Point', 'coordinates': [37.581846, 55.576274]}",202,322065.0,1992
1394,"{'type': 'Point', 'coordinates': [37.580616, 55.57664]}",158,198725.0,1992
1395,"{'type': 'Point', 'coordinates': [37.580346, 55.577068]}",211,268597.0,1992
1396,"{'type': 'Point', 'coordinates': [37.576834, 55.577795]}",94,219130.0,1992
1397,"{'type': 'Point', 'coordinates': [37.575558, 55.576991]}",320,261474.0,1991
1398,"{'type': 'Point', 'coordinates': [37.577849, 55.576915]}",439,274369.0,1991
1399,"{'type': 'Point', 'coordinates': [37.577499, 55.575643]}",306,299890.0,1992
1400,"{'type': 'Point', 'coordinates': [37.571147, 55.576783]}",233,205854.0,1991
1401,"{'type': 'Point', 'coordinates': [37.573375, 55.576803]}",96,180599.0,1995
1402,"{'type': 'Point', 'coordinates': [37.57395, 55.57747]}",336,197239.0,1992
1403,"{'type': 'Point', 'coordinates': [37.57395, 55.578452]}",217,315003.0,1992
1404,"{'type': 'Point', 'coordinates': [37.57263, 55.578503]}",115,309207.0,1992
1405,"{'type': 'Point', 'coordinates': [37.572001, 55.577856]}",235,264472.0,1992
1406,"{'type': 'Point', 'coordinates': [37.569027, 55.577175]}",69,255902.0,1991
1407,"{'type': 'Point', 'coordinates': [37.571282, 55.575775]}",38,284483.0,1995
1408,"{'type': 'Point', 'coordinates': [37.570222, 55.576004]}",309,194337.0,1991
1409,"{'type': 'Point', 'coordinates': [37.567428, 55.573688]}",189,307529.0,1990
1410,"{'type': 'Point', 'coordinates': [37.566126, 55.572894]}",288,236328.0,1991
1411,"{'type': 'Point', 'coordinates': [37.561293, 55.566318]}",109,236316.0,1993
1412,"{'type': 'Point', 'coordinates': [37.562039, 55.566832]}",104,257020.0,1992
1413,"{'type': 'Point', 'coordinates': [37.56264, 55.566063]}",44,185056.0,1997
1414,"{'type': 'Point', 'coordinates': [37.564123, 55.565646]}",220,207843.0,1992
1415,"{'type': 'Point', 'coordinates': [37.565389, 55.565468]}",41,303314.0,1997
1416,"{'type': 'Point', 'coordinates': [37.559308, 55.558641]}",338,229845.0,2015
1417,"{'type': 'Point', 'coordinates': [37.557268, 55.557948]}",907,325420.0,2017
1418,"{'type': 'Point', 'coordinates': [37.55484887671417, 55.55658260432355]}",417,334568.0,2018
1419,"{'type': 'Point', 'coordinates': [37.559083, 55.557286]}",785,284605.0,2016
1420,"{'type': 'Point', 'coordinates': [37.566961, 55.564964]}",237,231390.0,1992
1421,"{'type': 'Point', 'coordinates': [37.568237, 55.564114]}",86,231961.0,1996
1422,"{'type': 'Point', 'coordinates': [37.569306, 55.563656]}",157,305673.0,1995
1423,"{'type': 'Point', 'coordinates': [37.570429, 55.562882]}",163,229416.0,1996
1424,"{'type': 'Point', 'coordinates': [37.573842, 55.563793]}",190,260766.0,1991
1425,"{'type': 'Point', 'coordinates': [37.574633, 55.564399]}",131,250841.0,1991
1426,"{'type': 'Point', 'coordinates': [37.574929, 55.565162]}",189,304000.0,1991
1427,"{'type': 'Point', 'coordinates': [37.575953, 55.564434]}",248,354131.0,1995
1428,"{'type': 'Point', 'coordinates': [37.57757, 55.564552]}",178,319256.0,1988
1429,"{'type': 'Point', 'coordinates': [37.578675, 55.565442]}",103,229175.0,2002
1430,"{'type': 'Point', 'coordinates': [37.579672, 55.564969]}",201,201092.0,2003
1431,"{'type': 'Point', 'coordinates': [37.580355, 55.56587]}",312,237906.0,2002
1432,"{'type': 'Point', 'coordinates': [37.578612, 55.566181]}",356,291863.0,2002
1433,"{'type': 'Point', 'coordinates': [37.577436, 55.56699]}",98,202756.0,2003
1434,"{'type': 'Point', 'coordinates': [37.577058, 55.565972]}",191,279828.0,2002
1435,"{'type': 'Point', 'coordinates': [37.576403, 55.565137]}",286,291055.0,1988
1436,"{'type': 'Point', 'coordinates': [37.576385, 55.566807]}",217,249560.0,2003
1437,"{'type': 'Point', 'coordinates': [37.573806, 55.568064]}",306,318679.0,2000
1438,"{'type': 'Point', 'coordinates': [37.574642, 55.568924]}",294,203487.0,1991
1439,"{'type': 'Point', 'coordinates': [37.573312, 55.567178]}",145,198047.0,2001
1440,"{'type': 'Point', 'coordinates': [37.571929, 55.566313]}",150,310294.0,1992
1441,"{'type': 'Point', 'coordinates': [37.572405, 55.565605]}",341,266701.0,1992
1442,"{'type': 'Point', 'coordinates': [37.570941, 55.564053]}",115,296240.0,1997
1443,"{'type': 'Point', 'coordinates': [37.567716, 55.565473]}",159,255618.0,1993
1444,"{'type': 'Point', 'coordinates': [37.568129, 55.566445]}",323,228503.0,1992
1445,"{'type': 'Point', 'coordinates': [37.569171, 55.567219]}",164,330119.0,1994
1446,"{'type': 'Point', 'coordinates': [37.566961, 55.567519]}",167,317434.0,1994
1447,"{'type': 'Point', 'coordinates': [37.565326, 55.567122]}",311,293338.0,1992
1448,"{'type': 'Point', 'coordinates': [37.564931, 55.56615]}",161,224350.0,1992
1449,"{'type': 'Point', 'coordinates': [37.56256, 55.567804]}",339,277324.0,1992
1450,"{'type': 'Point', 'coordinates': [37.564168, 55.569443]}",262,242276.0,2001
1451,"{'type': 'Point', 'coordinates': [37.565353, 55.569011]}",163,202168.0,2001
1452,"{'type': 'Point', 'coordinates': [37.563943, 55.568522]}",124,325992.0,1994
1453,"{'type': 'Point', 'coordinates': [37.566126, 55.569494]}",259,209046.0,2001
1454,"{'type': 'Point', 'coordinates': [37.564913, 55.57066]}",252,324890.0,1991
1455,"{'type': 'Point', 'coordinates': [37.564428, 55.570207]}",258,251266.0,1992
1456,"{'type': 'Point', 'coordinates': [37.568399, 55.570976]}",29,211809.0,1995
1457,"{'type': 'Point', 'coordinates': [37.56688, 55.568782]}",212,274522.0,2001
1458,"{'type': 'Point', 'coordinates': [37.568192, 55.568354]}",115,330532.0,2001
1459,"{'type': 'Point', 'coordinates': [37.568821, 55.568777]}",161,304348.0,2001
1460,"{'type': 'Point', 'coordinates': [37.569701, 55.568181]}",167,322552.0,2001
1461,"{'type': 'Point', 'coordinates': [37.570896, 55.567718]}",171,298774.0,2002
1462,"{'type': 'Point', 'coordinates': [37.571938, 55.568543]}",239,301278.0,2002
1463,"{'type': 'Point', 'coordinates': [37.573986, 55.569632]}",44,320285.0,1996
1464,"{'type': 'Point', 'coordinates': [37.574022, 55.570548]}",433,222077.0,1991
1465,"{'type': 'Point', 'coordinates': [37.574822, 55.57011]}",64,261783.0,1991
1466,"{'type': 'Point', 'coordinates': [37.575612, 55.571708]}",219,217566.0,1991
1467,"{'type': 'Point', 'coordinates': [37.574327, 55.571968]}",378,335271.0,1991
1468,"{'type': 'Point', 'coordinates': [37.572791, 55.572324]}",210,328550.0,1990
1469,"{'type': 'Point', 'coordinates': [37.571273, 55.571215]}",433,188986.0,1990
1470,"{'type': 'Point', 'coordinates': [37.57298, 55.571098]}",219,289319.0,1991
1471,"{'type': 'Point', 'coordinates': [37.571983, 55.570792]}",89,327969.0,1991
1472,"{'type': 'Point', 'coordinates': [37.571255, 55.570299]}",25,214024.0,1995
1473,"{'type': 'Point', 'coordinates': [37.570222, 55.5718]}",382,265296.0,1991
1474,"{'type': 'Point', 'coordinates': [37.569225, 55.571479]}",71,322295.0,1991
1475,"{'type': 'Point', 'coordinates': [37.566485, 55.5721]}",90,179593.0,1991
1476,"{'type': 'Point', 'coordinates': [37.569009, 55.572309]}",252,283780.0,1990
1477,"{'type': 'Point', 'coordinates': [37.570078, 55.573017]}",260,222875.0,1990
1478,"{'type': 'Point', 'coordinates': [37.571615, 55.572553]}",149,320817.0,1991
1479,"{'type': 'Point', 'coordinates': [37.57563, 55.574686]}",371,324595.0,1992
1480,"{'type': 'Point', 'coordinates': [37.576367, 55.574584]}",59,320527.0,1995
1481,"{'type': 'Point', 'coordinates': [37.577957, 55.574151]}",330,250020.0,1992
1482,"{'type': 'Point', 'coordinates': [37.575693, 55.570166]}",85,320186.0,1992
1483,"{'type': 'Point', 'coordinates': [37.577669, 55.568512]}",352,339115.0,1991
1484,"{'type': 'Point', 'coordinates': [37.578055, 55.567911]}",141,253295.0,1990
1485,"{'type': 'Point', 'coordinates': [37.579124, 55.568695]}",315,338542.0,1990
1486,"{'type': 'Point', 'coordinates': [37.582008, 55.569057]}",238,192813.0,1990
1487,"{'type': 'Point', 'coordinates': [37.579924, 55.567906]}",293,301906.0,1990
1488,"{'type': 'Point', 'coordinates': [37.583131, 55.568145]}",170,230577.0,1990
1489,"{'type': 'Point', 'coordinates': [37.584218, 55.568476]}",404,214347.0,1990
1490,"{'type': 'Point', 'coordinates': [37.583454, 55.56926]}",151,205631.0,1991
1491,"{'type': 'Point', 'coordinates': [37.587649, 55.569734]}",64,301797.0,1997
1492,"{'type': 'Point', 'coordinates': [37.587883, 55.57007]}",57,246042.0,1997
1493,"{'type': 'Point', 'coordinates': [37.588611, 55.570405]}",65,298101.0,1997
1494,"{'type': 'Point', 'coordinates': [37.588647, 55.569026]}",102,200303.0,1997
1495,"{'type': 'Point', 'coordinates': [37.589464, 55.569255]}",44,240055.0,1997
1496,"{'type': 'Point', 'coordinates': [37.589752, 55.569566]}",58,274915.0,1997
1497,"{'type': 'Point', 'coordinates': [37.590344, 55.568787]}",70,317068.0,1997
1498,"{'type': 'Point', 'coordinates': [37.588242, 55.567331]}",421,236629.0,1990
1499,"{'type': 'Point', 'coordinates': [37.587632, 55.568313]}",200,289975.0,1993
1500,"{'type': 'Point', 'coordinates': [37.58605, 55.567871]}",365,335905.0,1990
1501,"{'type': 'Point', 'coordinates': [37.583787, 55.566242]}",346,293059.0,1990
1502,"{'type': 'Point', 'coordinates': [37.585242, 55.566461]}",240,228026.0,1990
1503,"{'type': 'Point', 'coordinates': [37.584972, 55.565458]}",160,193819.0,1990
1504,"{'type': 'Point', 'coordinates': [37.58605, 55.565738]}",364,330148.0,1990
1505,"{'type': 'Point', 'coordinates': [37.587281, 55.567153]}",107,194236.0,1990
1506,"{'type': 'Point', 'coordinates': [37.587236, 55.560779]}",458,315527.0,2005
1507,"{'type': 'Point', 'coordinates': [37.585601, 55.560586]}",286,264033.0,2005
1508,"{'type': 'Point', 'coordinates': [37.58517, 55.559817]}",162,327897.0,2004
1509,"{'type': 'Point', 'coordinates': [37.583724, 55.560163]}",272,319969.0,1994
1510,"{'type': 'Point', 'coordinates': [37.582745, 55.561105]}",206,360806.0,1994
1511,"{'type': 'Point', 'coordinates': [37.582313, 55.561976]}",182,251218.0,1995
1512,"{'type': 'Point', 'coordinates': [37.586176, 55.561232]}",161,301133.0,2003
1513,"{'type': 'Point', 'coordinates': [37.585763, 55.562454]}",65,247447.0,1969
1514,"{'type': 'Point', 'coordinates': [37.586149, 55.564323]}",232,268484.0,2005
1515,"{'type': 'Point', 'coordinates': [37.584353, 55.563035]}",36,277706.0,1974
1516,"{'type': 'Point', 'coordinates': [37.585026, 55.563309]}",44,317176.0,1962
1517,"{'type': 'Point', 'coordinates': [37.585736, 55.563009]}",71,344399.0,1966
1518,"{'type': 'Point', 'coordinates': [37.585188, 55.562683]}",51,305505.0,1966
1519,"{'type': 'Point', 'coordinates': [37.582251, 55.56392]}",202,264513.0,2003
1520,"{'type': 'Point', 'coordinates': [37.583688, 55.564068]}",348,261291.0,2005
1521,"{'type': 'Point', 'coordinates': [37.582826, 55.564791]}",246,313105.0,2003
1522,"{'type': 'Point', 'coordinates': [37.581128, 55.565106]}",379,236909.0,2003
1523,"{'type': 'Point', 'coordinates': [37.581227, 55.564394]}",161,216485.0,2004
1524,"{'type': 'Point', 'coordinates': [37.578217, 55.563895]}",173,256515.0,1980
1525,"{'type': 'Point', 'coordinates': [37.578307, 55.562958]}",175,252566.0,1970
1526,"{'type': 'Point', 'coordinates': [37.57961, 55.562948]}",75,250442.0,1965
1527,"{'type': 'Point', 'coordinates': [37.58031, 55.563661]}",184,228237.0,1982
1528,"{'type': 'Point', 'coordinates': [37.580355, 55.562902]}",58,206923.0,1969
1529,"{'type': 'Point', 'coordinates': [37.582152, 55.562938]}",302,190679.0,1995
1530,"{'type': 'Point', 'coordinates': [37.581056, 55.56276]}",28,367956.0,1957
1531,"{'type': 'Point', 'coordinates': [37.578927, 55.562368]}",18,276040.0,1980
1532,"{'type': 'Point', 'coordinates': [37.577858, 55.561741]}",154,315082.0,2019
1533,"{'type': 'Point', 'coordinates': [37.577202, 55.563101]}",222,313998.0,1977
1534,"{'type': 'Point', 'coordinates': [37.576189293968866, 55.559871342114995]}",711,318554.0,2018
1535,"{'type': 'Point', 'coordinates': [37.575639, 55.559746]}",776,467654.0,2018
1536,"{'type': 'Point', 'coordinates': [37.57793, 55.560866]}",678,409167.0,2019
1537,"{'type': 'Point', 'coordinates': [37.57908, 55.560316]}",239,249860.0,2020
1538,"{'type': 'Point', 'coordinates': [37.577822, 55.559237]}",411,350028.0,2018
1539,"{'type': 'Point', 'coordinates': [37.571076, 55.551578]}",49,304969.0,2008
1540,"{'type': 'Point', 'coordinates': [37.571884, 55.5511]}",366,310955.0,2009
1541,"{'type': 'Point', 'coordinates': [37.591422, 55.56953]}",144,266945.0,1992
1542,"{'type': 'Point', 'coordinates': [37.590021, 55.569993]}",67,280550.0,1997
1543,"{'type': 'Point', 'coordinates': [37.593713, 55.572365]}",143,199005.0,1996
